tenor,typeRate,bid,ask,mid
1D,OverNight,0.5,0.5,0.5
2D,OverNight,0.5,0.5,0.5
3M,Cash,0.498,0.522,0.51
6M,Cash,0.517,0.538,0.5275
9M,Cash,0.52,0.54,0.53
1Y,Cash,0.557,0.578,0.5675
18M,Cash,0.709,0.731,0.72
2Y,Bond,0.849,0.881,0.865
3Y,Bond,1.089,1.121,1.105
4Y,Bond,1.411,1.444,1.4275
5Y,Bond,1.753,1.777,1.765
6Y,Bond,1.99,2.02,2.005
7Y,Bond,2.258,2.292,2.275
8Y,Bond,2.44,2.48,2.46
9Y,Bond,2.611,2.639,2.625
10Y,Bond,2.729,2.756,2.7425
12Y,Bond,2.817,2.843,2.83
15Y,Bond,2.92,2.94,2.93
20Y,Bond,2.935,2.955,2.945
