tenor,typeRate,bid,ask,mid
1D,OverNight,0.5,0.5,0.5
2D,OverNight,0.5,0.5,0.5
3M,Cash,0.48,0.48,0.48
6M,Cash,0.48,0.48,0.48
9M,Cash,0.48,0.48,0.48
1Y,Cash,0.5,0.5,0.5
18M,Cash,0.57,0.57,0.57
2Y,Bond,0.63,0.63,0.63
3Y,Bond,0.79,0.79,0.79
4Y,Bond,0.99,0.99,0.99
5Y,Bond,1.27,1.27,1.27
6Y,Bond,1.52,1.52,1.52
7Y,Bond,1.72,1.72,1.72
8Y,Bond,1.88,1.88,1.88
9Y,Bond,2.04,2.04,2.04
10Y,Bond,2.15,2.15,2.15
12Y,Bond,2.23,2.23,2.23
15Y,Bond,2.32,2.32,2.32
20Y,Bond,2.32,2.32,2.32
30Y,Bond,2.48,2.48,2.48
