tenor,typeRate,bid,ask,mid
1D,OverNight,3.587956841,3.587956841,3.587956841
28D,Cash,3.592788551,3.592788551,3.592788551
56D,Cash,3.597808379,3.597808379,3.597808379
91D,Cash,3.604096317,3.604096317,3.604096317
182D,Bond,3.636482128,3.636482128,3.636482128
364D,Bond,3.661611722,3.661611722,3.661611722
728D,Bond,3.454945055,3.454945055,3.454945055
1092D,Bond,3.313714286,3.313714286,3.313714286
1456D,Bond,3.223364486,3.223364486,3.223364486
1820D,Bond,3.189345794,3.189345794,3.189345794
2184D,Bond,3.163205128,3.163205128,3.163205128
2548D,Bond,3.186538462,3.186538462,3.186538462
2912D,Bond,3.209871795,3.209871795,3.209871795
3276D,Bond,3.230981162,3.230981162,3.230981162
3640D,Bond,3.238124019,3.238124019,3.238124019
4550D,Bond,3.255981162,3.255981162,3.255981162
5460D,Bond,3.273838305,3.273838305,3.273838305
6370D,Bond,3.286549451,3.286549451,3.286549451
7280D,Bond,3.296549451,3.296549451,3.296549451
8190D,Bond,3.297271062,3.297271062,3.297271062
9100D,Bond,3.293104396,3.293104396,3.293104396
10920D,Bond,3.297843407,3.297843407,3.297843407
11830D,Bond,3.304093407,3.304093407,3.304093407
