tenor,typeRate,bid,ask,mid
1D,OverNight,0.0154388,0.0154388,0.0154388
2D,OverNight,0.01625,0.01625,0.01625
3M,Cash,0.0176325,0.0176325,0.0176325
ED1,Future,0.01855,0.01855,0.01855
ED2,Future,0.01865,0.01865,0.01865
ED3,Future,0.01875,0.01875,0.01875
ED4,Future,0.0164,0.0164,0.0164
ED5,Future,0.01505,0.01505,0.01505
ED6,Future,0.0138,0.0138,0.0138
2Y,Swap,0.013783,0.013783,0.013783
3Y,Swap,0.013211,0.013211,0.013211
4Y,Swap,0.013077,0.013077,0.013077
5Y,Swap,0.013167,0.013167,0.013167
6Y,Swap,0.01337,0.01337,0.01337
7Y,Swap,0.013621,0.013621,0.013621
8Y,Swap,0.01391,0.01391,0.01391
9Y,Swap,0.014222,0.014222,0.014222
10Y,Swap,0.014525,0.014525,0.014525
11Y,Swap,0.015106,0.015106,0.015106
12Y,Swap,0.015737,0.015737,0.015737
15Y,Swap,0.01619,0.01619,0.01619
20Y,Swap,0.016387,0.016387,0.016387
25Y,Swap,0.016627,0.016627,0.016627
30Y,Swap,0.01669,0.01669,0.01669
40Y,Swap,0.016294,0.016294,0.016294
50Y,Swap,0.01573,0.01573,0.01573
