tenor,typeRate,bid,ask,mid
ON,OverNight,0.06163,0.06163,0.06163
TN,OverNight,0.18,0.18,0.18
3M,Cash,0.3625,0.3625,0.3625
ED1,Future,0.31375,0.31375,0.31375
ED2,Future,0.2875,0.2875,0.2875
ED3,Future,0.3075,0.3075,0.3075
ED4,Future,0.2275,0.2275,0.2275
ED5,Future,0.2075,0.2075,0.2075
ED6,Future,0.2125,0.2125,0.2125
ED7,Future,0.2425,0.2425,0.2425
2Y,Swap,0.265,0.265,0.265
3Y,Swap,0.27795,0.27795,0.27795
4Y,Swap,0.31955,0.31955,0.31955
5Y,Swap,0.37725,0.37725,0.37725
6Y,Swap,0.4426,0.4426,0.4426
7Y,Swap,0.50475,0.50475,0.50475
8Y,Swap,0.56325,0.56325,0.56325
9Y,Swap,0.6157,0.6157,0.6157
10Y,Swap,0.6643,0.6643,0.6643
11Y,Swap,0.7091,0.7091,0.7091
12Y,Swap,0.74935,0.74935,0.74935
15Y,Swap,0.83295,0.83295,0.83295
20Y,Swap,0.9157,0.9157,0.9157
30Y,Swap,0.95975,0.95975,0.95975
