tenor,typeRate,bid,ask,mid
1D,OverNight,0.016,0.016,0.016
2D,OverNight,0.016,0.016,0.016
1W,Cash,0.01586,0.01586,0.01586
2W,Cash,0.015895,0.015895,0.015895
3W,Cash,0.01587,0.01587,0.01587
1M,Cash,0.01589,0.01589,0.01589
2M,Cash,0.01569,0.01569,0.01569
3M,Cash,0.01551,0.01551,0.01551
4M,Cash,0.01525,0.01525,0.01525
5M,Cash,0.01496,0.01496,0.01496
6M,Cash,0.01474,0.01474,0.01474
7M,Cash,0.0145,0.0145,0.0145
8M,Cash,0.01425,0.01425,0.01425
9M,Cash,0.01402,0.01402,0.01402
10M,Cash,0.0138,0.0138,0.0138
11M,Cash,0.01356,0.01356,0.01356
1Y,Cash,0.01333,0.01333,0.01333
15M,Bond,0.012775,0.012775,0.012775
18M,Bond,0.01234,0.01234,0.01234
21M,Bond,0.01291,0.01291,0.01291
2Y,Bond,0.011712,0.011712,0.011712
3Y,Bond,0.01114,0.01114,0.01114
4Y,Bond,0.01099,0.01099,0.01099
5Y,Bond,0.01105,0.01105,0.01105
6Y,Bond,0.01124,0.01124,0.01124
7Y,Bond,0.01148,0.01148,0.01148
8Y,Bond,0.011788,0.011788,0.011788
9Y,Bond,0.01206,0.01206,0.01206
10Y,Bond,0.01235,0.01235,0.01235
12Y,Bond,0.01294,0.01294,0.01294
15Y,Bond,0.013565,0.013565,0.013565
20Y,Bond,0.01423,0.01423,0.01423
25Y,Bond,0.01444,0.01444,0.01444
30Y,Bond,0.01453,0.01453,0.01453
40Y,Bond,0.0141,0.0141,0.0141
