tenor,typeRate,bid,ask,mid
1D,OverNight,0.05,0.05,0.05
2D,OverNight,0.05,0.05,0.05
1W,Cash,0.05395,0.05395,0.05395
2W,Cash,0.05375,0.05375,0.05375
1M,Cash,0.052,0.052,0.052
2M,Cash,0.052,0.052,0.052
3M,Cash,0.0535,0.0535,0.0535
4M,Cash,0.05175,0.05175,0.05175
5M,Cash,0.049,0.049,0.049
6M,Cash,0.0463,0.0463,0.0463
7M,Cash,0.04445,0.04445,0.04445
8M,Cash,0.04235,0.04235,0.04235
9M,Cash,0.0408,0.0408,0.0408
10M,Cash,0.039,0.039,0.039
11M,Cash,0.037,0.037,0.037
1Y,Cash,0.0347,0.0347,0.0347
18M,Cash,0.021,0.021,0.021
2Y,Bond,0.01715,0.01715,0.01715
3Y,Bond,0.03275,0.03275,0.03275
4Y,Bond,0.074,0.074,0.074
5Y,Bond,0.13,0.13,0.13
6Y,Bond,0.197,0.197,0.197
7Y,Bond,0.258,0.258,0.258
8Y,Bond,0.314,0.314,0.314
9Y,Bond,0.367,0.367,0.367
10Y,Bond,0.414,0.414,0.414
12Y,Bond,0.498,0.498,0.498
15Y,Bond,0.579,0.579,0.579
20Y,Bond,0.663,0.663,0.663
25Y,Bond,0.69,0.69,0.69
30Y,Bond,0.705,0.705,0.705
